,mean,median,std,skew,kurtosis,corr_price,⚠️ skew,⭐ ważna
Overall Qual,6.064,6.0,1.389,0.204,0.16,0.795,False,True
Neighborhood,178099.014,157717.883,56651.982,1.102,0.706,0.739,True,True
Gr Liv Area,1492.86,1436.5,504.62,1.303,4.419,0.698,True,True
Exter Qual,2.388,2.0,0.576,0.808,0.111,0.685,False,True
Kitchen Qual,2.491,2.0,0.655,0.447,-0.204,0.661,False,True
Garage Cars,1.746,2.0,0.747,-0.214,0.209,0.644,False,True
Garage Area,468.879,476.0,212.608,0.29,1.122,0.633,False,True
Total Bsmt SF,1046.576,988.0,437.009,1.336,11.424,0.613,True,True
1st Flr SF,1154.814,1082.0,385.114,1.542,8.222,0.607,True,True
Bsmt Qual,3.465,3.0,0.885,-1.269,4.21,0.602,True,True
Year Built,1970.507,1972.0,30.341,-0.594,-0.491,0.545,False,True
Full Bath,1.557,2.0,0.552,0.184,-0.574,0.542,False,True
Garage Finish,1.714,2.0,0.892,0.151,-1.059,0.534,False,True
Fireplace Qu,1.753,1.0,1.8,0.185,-1.754,0.524,False,True
Year Remod/Add,1983.924,1992.0,20.786,-0.428,-1.36,0.518,False,True
MS SubClass,178644.213,182330.944,37925.9,-0.111,-0.51,0.487,False,True
Garage Type,178570.08,199277.154,37642.333,-0.441,-0.927,0.485,False,True
Mas Vnr Area,97.741,0.0,171.767,2.511,8.208,0.484,True,True
TotRms AbvGrd,6.409,6.0,1.564,0.768,1.277,0.475,False,True
Fireplaces,0.599,1.0,0.653,0.772,0.203,0.468,False,True
Heating QC,3.146,4.0,0.955,-0.542,-1.144,0.442,False,True
BsmtFin SF 1,442.343,375.0,452.219,1.53,8.66,0.424,True,True
Bsmt Exposure,1.615,1.0,1.064,1.15,-0.003,0.396,True,False
Exterior 1st,178499.431,162563.292,30377.283,0.164,-1.072,0.379,False,False
Exterior 2nd,178303.767,162969.366,29656.772,0.233,-1.251,0.37,False,False
BsmtFin Type 1,3.544,4.0,2.105,-0.15,-1.589,0.348,False,False
Sale Condition,178499.353,174563.265,27018.485,2.342,6.051,0.348,True,False
Sale Type,178535.341,173189.02,27175.614,2.492,6.77,0.347,True,False
Wood Deck SF,94.113,0.0,124.852,1.565,3.191,0.333,True,False
Lot Shape,2.605,3.0,0.564,-1.261,1.619,-0.299,True,False
Open Porch SF,47.342,26.0,68.037,2.665,12.3,0.298,True,False
Bsmt Full Bath,0.431,0.0,0.525,0.63,-0.675,0.287,False,False
Half Bath,0.371,0.0,0.5,0.73,-0.996,0.285,False,False
Garage Qual,2.806,3.0,0.704,-3.3,10.494,0.28,True,False
Paved Drive,1.827,2.0,0.541,-2.934,6.874,0.279,True,False
2nd Flr SF,333.688,0.0,427.141,0.876,-0.37,0.279,False,False
Central Air,0.933,1.0,0.251,-3.453,9.931,0.269,True,False
Lot Area,10127.858,9356.5,8050.908,13.744,290.568,0.261,True,False
Garage Cond,2.816,3.0,0.701,-3.425,11.032,0.259,True,False
Electrical,3.889,4.0,0.399,-4.238,20.652,0.235,True,False
Bsmt Cond,2.923,3.0,0.559,-3.629,17.715,0.214,True,False
Condition 1,178526.37,182041.389,15443.539,-1.026,5.728,0.195,True,False
Lot Frontage,57.604,62.0,33.543,0.097,2.718,0.173,False,False
Bsmt Unf SF,554.157,462.0,433.847,0.91,0.391,0.164,False,False
Fence,0.594,0.0,1.227,1.717,1.254,-0.156,True,False
Bedroom AbvGr,2.845,3.0,0.82,0.316,1.862,0.149,False,False
Screen Porch,16.01,0.0,55.821,3.895,17.213,0.137,True,False
Enclosed Porch,24.732,0.0,67.031,3.994,28.528,-0.131,True,False
Pool QC,0.015,0.0,0.219,15.593,252.099,0.131,True,False
Functional,6.844,7.0,0.661,-5.123,29.612,0.12,True,False
Kitchen AbvGr,1.043,1.0,0.211,4.493,21.602,-0.116,True,False
Overall Cond,5.582,5.0,1.106,0.595,1.48,-0.104,False,False
Pool Area,2.583,0.0,38.324,15.899,264.168,0.079,True,False
Land Slope,0.055,0.0,0.254,4.932,26.065,0.073,True,False
Misc Feature,178599.15,179528.808,5379.535,-4.758,21.574,0.058,True,False
Yr Sold,2007.795,2008.0,1.315,0.126,-1.165,-0.038,False,False
3Ssn Porch,2.423,0.0,24.524,12.14,171.684,0.035,True,False
Utilities,2.998,3.0,0.051,-32.918,1169.72,0.029,True,False
BsmtFin SF 2,50.076,0.0,170.364,4.186,19.391,0.027,True,False
Bsmt Half Bath,0.059,0.0,0.242,4.004,15.425,-0.024,True,False
BsmtFin Type 2,1.28,1.0,0.958,3.116,9.889,0.023,True,False
Exter Cond,2.09,2.0,0.376,1.345,6.461,0.021,True,False
Misc Val,58.055,0.0,623.375,20.416,479.881,-0.018,True,False
Low Qual Fin SF,4.357,0.0,44.324,12.959,208.489,-0.016,True,False
Alley,,,,,,,False,False
Bldg Type,,,,,,,False,False
Foundation,,,,,,,False,False
House Style,,,,,,,False,False
Land Contour,,,,,,,False,False
Lot Config,,,,,,,False,False
MS Zoning,,,,,,,False,False
Mas Vnr Type,,,,,,,False,False
Roof Style,,,,,,,False,False
SalePrice,178582.208,160000.0,77125.073,1.751,5.474,,True,False
Street,,,,,,,False,False
